"X","file_id","title","auth_last","auth_first","publ_date","genre","narrator","first_per","third_per","thought","textlength","dialogue","diag_diff","kl_score","ttr_mean","ttr_sd","ttr_norm","ttr_cumsum","ent_mean","ent_sd","ent_norm","ent_cumsum","con_ent_mean","con_ent_sd","con_ent_cumsum","con_ent2_mean","con_ent2_sd","dist_kl_mean","dist_kl_sd","dist_kl_cumsum","dist_cos_mean","dist_cos_sd","dist_cos_cumsum","cross_half_l2","cross_half_tfidf","cross_half_l2_nostopword","cross_half_tfidf_nostopword","thought2","pronoun_first","pronoun_third","period","punct","stopword"
0,"199","Arakure","Tokuda","Shusei","1915","SHISHOSETSU","third",0.00358495946551513,0.00403307939870453,0.0036155130973235,123292,0.176102370463604,0.0837226582417587,0.0847841605183,0.390223452484121,0.0164635927020315,-0.00173054532529837,0.27,4.99459194904826,0.0658059202065071,0.0325579829168392,0.134,1.44309625237865,0.03548576445136,0.46,1.54708856916444,0.0281935075881202,0.639558435251778,0.0290807197881814,0.13,0.013109782958109,0.00261937595411329,0.639558435251778,0.0326567212119191,0.940319416223089,0.0571237911381705,0.946350614203744,0.000372618546787668,0,0,0.0260953182282589,0.104261073381814,0.582835506941523
1,"201","Aru onna (Part 1 and 2)","Arishima","Takeo","1911","SHISHOSETSU","third",0.00467824544336033,0.000615182122521388,0.00585496008469484,361393,0.213044249232302,0.0557065070431825,0.0464240475286,0.393938576067118,0.0228033860537548,-0.0200570186465389,0,5.0031355471609,0.0721474877672178,-0.0386828097538183,0.002,1.5241275798054,0.0454926217298362,0,1.59369396369603,0.037813090780101,0.50535338998118,0.0244946566612027,0.73,0.00755118164325728,0.00234297268894596,0.50535338998118,0.0250158573423037,0.918821837598237,0.0473959009120284,0.926655769374069,4.53044230708244e-06,0,0,0.0339783173031183,0.087378640776699,0.603178558322649
2,"334","Kodomo no kanashimi","Doppo","Kunikida","","SHISHOSETSU","first",0.012933025404157,0.00115473441108545,0.00184757505773672,5943,0.248002778742619,0.357763112191733,0.38718367307,0.362389771705229,0.0168554218423292,0.00538806230351957,0.63,5.10814213835396,0.0690724945795481,0.0536570343097251,0.66,1.53703918436898,0.041649745381942,0.812,1.69170241392339,0.0199224399774344,1.36700888951142,0.0808371634702431,0.89,0.151025097426489,0.0382433404511642,1.36700888951142,0.126876394818265,0.955303600569561,0.202514121067684,0.971938876357918,0,0,0,0.0310719834282755,0.119627136198861,0.533402382185396
3,"416","Fuyu no hae","Kajii","Motojiro","1928","SHISHOSETSU","first",0.019939133172421,0.00902508133067478,0.00419771224682548,10220,0.0530656861770844,0.0329816030910422,0.205166097865,0.361196084135035,0.00878957153864367,-0.011010265071314,0.152,4.93763855822676,0.0209258707645787,-0.00500622956866348,0.776,1.57180225225646,0.0323874430088867,0.134,1.63590984876375,0.0249228390789855,1.11118911720432,0.0653118963800892,0.08,0.0778613898791153,0.0224138465354172,1.11118911720432,0.0902378883789087,0.963338619246149,0.160472184350523,0.976964749565814,0.000757346258709482,0,0,0.0477128142986974,0.0786125416540442,0.582096334444108
4,"417","Fuyu no hi","Kajii","Motojiro","1927","SHISHOSETSU","third",0.0029458179905313,0.0094687006838506,0.0047343503419253,11485,0.147151188873934,0.0459134770517631,0.15825601539,0.376524397263558,0.01243271088355,-0.00626786342890601,0.264,4.9676882414921,0.0506351951512943,0.000170541514603606,0.906,1.57037069879025,0.0334592534462859,0.76,1.62676041948286,0.0226021020626026,1.14849791712203,0.0630337830926384,0.19,0.0730293469076141,0.0213106601520916,1.14849791712203,0.0842661000534764,0.961885165118885,0.140025607891911,0.97423590399252,0.000535403560433677,0,0,0.0449738990764289,0.0923571141748093,0.559362869763084
5,"424","Remon","Kajii","Motojiro","1925","SHISHOSETSU","first",0.0158893933140735,0.000206355757325629,0.00433347090383822,5028,0.0225897539330375,0.0250100847115773,0.218381954247,0.38417107219596,0.012504027471048,-0.00127805421719551,0.638,5.04333976924833,0.0794236241629073,0.0146224746278882,0.672,1.49448993703736,0.0472051680403709,1,1.58040190388901,0.0480922614350044,1.38184138025047,0.0724312540983968,0.01,0.148331038152981,0.0378555970308897,1.38184138025047,0.127473459868278,0.961433936152005,0.21881642351835,0.983690534736047,0.00157331655129012,0,0,0.0415355569540592,0.0827564505978603,0.590308370044053
6,"601","Shiju yonichi","Mizuno","Senko","1910","SHISHOSETSU","third",0.00132337650061442,0.000661688250307212,0.00378107571604121,13967,0.214391801574335,0.168869746027031,0.136958192489,0.394117044893414,0.0117090782387833,0.0113388022155902,0.396,5.07910262965203,0.0426242643091543,0.0445221959888631,0.522,1.45995731410658,0.0461671441026711,0.298,1.61490623359931,0.029793797172679,1.10956898892734,0.0606202913775501,0.32,0.0759638901576714,0.0236953245734693,1.10956898892734,0.0775277083174655,0.945660496745467,0.127750239997441,0.96186252926657,0.00157051617631662,0,0,0.0337137472515967,0.127421212438488,0.551565281122396
7,"683","Mousou","Ogai","Mori","1911","SHISHOSETSU","first",0.00787221033323143,0.000764292265362275,0.00664934270865179,14074,0.0445450562290054,0.0741930772601139,0.12069868977,0.364901644517566,0.0228852306739153,-0.0268869207467269,0.766,4.96506709982258,0.0782440568137821,-0.0058114467404895,0.606,1.47976627964743,0.0538646148566316,0.384,1.59185066955335,0.0398573131274691,1.14932883841889,0.0768956110746534,0.49,0.0924362892010827,0.0306708276243807,1.14932883841889,0.0903391288022271,0.954106804728056,0.158828752001259,0.967804368478787,0.000763025942882058,0,0,0.040004360148245,0.092217135382603,0.559625027250927
8,"695","Vita sexualis","Ogai","Mori","1909","SHISHOSETSU","first",0.0107585429966204,0.00168982350732257,0.00416823131806234,59602,0.0852098040226035,0.0212265468314157,0.0683108598083,0.360502047769788,0.0230492618882451,-0.0291074452183453,0.322,4.91675137348034,0.0752264159770261,-0.0114955443749594,0.664,1.53269317832735,0.0469173045675691,0.624,1.64045917288128,0.0384746412721803,0.830716003985208,0.0541147974623215,0.67,0.0274523185307881,0.00597150809585183,0.830716003985208,0.0464832643259271,0.94948863082889,0.08513132909353,0.957735637589378,0.000225270324389267,0,0,0.052663195835002,0.105251301561874,0.569958950740889
9,"783","Michikusa","Soseki","Natsume","1915","SHISHOSETSU","third",0.00541893978854255,0.0170061499940602,0.00410304209958787,151142,0.248155273102027,0.0223565784953624,0.0581785785045,0.396397580951473,0.0165033352149871,-0.00256182075792866,0.168,5.05357903764798,0.0748958861096546,0.00246398518961488,0.276,1.45922373350943,0.0528007103303127,0.362,1.52204313505803,0.0362452574416844,0.574208560628582,0.0315727095652004,0.84,0.00962025809904788,0.00285756031674234,0.574208560628582,0.0267344656992745,0.922799377281999,0.0487930353525738,0.932446767796224,6.16548152410703e-05,0,0,0.0400242508939948,0.0941366270705742,0.587313494183896
