"file_id","genre","file_id_name","textlength","kl_score","ttr_mean","ttr_sd","ttr_norm","ttr_cumsum","ent_mean","ent_sd","ent_norm","ent_cumsum","con_ent_mean","con_ent_sd","con_ent_cumsum","dist_kl_mean","dist_kl_sd","dist_kl_cumsum","dist_cos_mean","dist_cos_sd","dist_cos_cumsum","cross_half_l2","cross_half_tfidf","cross_half_l2_nostopword","cross_half_tfidf_nostopword","thought","pronoun_first","pronoun_third"
1228,"SR","S_dig_061.txt",9441,0.104250592675,0.423778602350031,0.0286269930111543,-0.0305776128633272,0.962,4.70413646419888,0.0817381012941603,-0.082213075437898,0.308,1.29387205986284,0.0441459852294447,0.39,0.981109577692319,0.0930181509091785,0.06,0.078405576410524,0.0278025791869866,0.981109577692319,0.0942484371564855,0.935618263189752,0.148511108270897,0.95619846108047,0.0077172403148634,0.00401296496372897,0.0625096465503936
1229,"SR","S_dig_062.txt",85022,0.0834303456835,0.457403776517761,0.0361714411873321,-0.0555503152986064,0.88,4.7775770583648,0.103739855618314,-0.146228527438644,0.002,1.22005263097078,0.0680219522356945,0,0.612958232374493,0.0580911641335749,0.03,0.0277297983295707,0.0120880181846898,0.612958232374493,0.0506704325644024,0.929540022279308,0.0593489337202189,0.932695763443116,0.00961453647349387,0.00744465026020993,0.0422510364293905
1230,"SR","S_dig_063.txt",3728,0.101758260665,0.433528265107212,0.0410885477360607,-0.0142183235867447,0.268,4.74222993325355,0.126016721342384,-0.043341738980617,0.226,1.23967168464914,0.0521526265360072,0.83,1.2139004560195,0.130662086830657,0.8,0.151138923862769,0.0647218436192796,1.2139004560195,0.13539125928938,0.938296540567849,0.222467420525162,0.971972131659007,0.00467471756914686,0.0335021425788859,0.0249318270354499
1231,"SR","S_dig_064.txt",2998,0.125850882711,0.466765873015873,0.0121637395223211,-0.0133531746031746,0.236,4.77623406775026,0.0181937303002804,-0.0461472653916823,1,1.22274518812409,0.0770022219263214,0.9,1.37827062755445,0.107530427153103,0.15,0.157912678022233,0.0799503714356099,1.37827062755445,0.150779668503135,0.944569855626335,0.244304802633203,0.976375119838713,0.00744047619047619,0.000992063492063492,0.0406746031746032
1232,"SR","S_dig_065.txt",5468,0.0792385958778,0.487940630797774,0.0223149270904993,-0.0249350649350649,0.934,4.88982503711135,0.0693004204823446,-0.0634515999624385,0.87,1.23441549020107,0.0560859383249641,0.82,1.28173791760508,0.0819898072624931,0.43,0.0859501201528962,0.0240028994092537,1.28173791760508,0.104103433859636,0.953259444664117,0.168553763139433,0.973081864095796,0.00477073946461702,0.00768619135966075,0.0196130400212033
1233,"SR","S_dig_066.txt",6484,0.0534897232122,0.477967625899281,0.0296898813295309,-0.0240287769784173,0.712,4.9008140537554,0.0763175055514744,-0.0677104638721726,0.89,1.25069516614395,0.0631494489173873,0.87,1.20782455801114,0.109764415345614,0.8,0.0826254300472349,0.0266245429091605,1.20782455801114,0.0999518177416678,0.941273054795206,0.155465853245706,0.96466635993275,0.00876798561151079,0.00382194244604317,0.0179856115107914
1234,"SR","S_dig_067.txt",4020,0.0560885053549,0.458156028368794,0.0284959473105934,-0.0138439716312057,0.204,4.81150533452545,0.0825224844941471,-0.026389121903085,0.366,1.30770981790364,0.0357164493598764,0.1,1.25590044762241,0.101124487797179,0.47,0.101131377245827,0.035122049048293,1.25590044762241,0.114509495722684,0.958984954531433,0.201899319211536,0.979313220810383,0.0113314447592068,0.00247875354107649,0.0481586402266289
1235,"SR","S_dig_068.txt",6132,0.142291057032,0.467961165048544,0.021143788072299,-0.0276543689320388,0.108,4.84923693038886,0.0574513246045981,-0.0617629022487813,0.348,1.22268843269777,0.0613321209791287,0.8,1.19910954450466,0.105997354632388,0.19,0.0960858557247394,0.0274442873069679,1.19910954450466,0.10448755413922,0.954407353229544,0.174852594995498,0.976540388888404,0.005819592628516,0.00387972841901067,0.0303103782735209
1236,"SR","S_dig_069.txt",3758,0.168145964197,0.457821782178218,0.026729005982411,-0.0401940594059406,0.346,4.80703414972584,0.100648388034417,-0.105126549317037,0.362,1.20807584241578,0.0726612668332898,0.24,1.37573519262851,0.140011561175896,0.2,0.148060704965544,0.0541932494736662,1.37573519262851,0.138852006954223,0.943233679918296,0.226001566754821,0.97793987868244,0.0126682501979414,0.0308788598574822,0.0158353127474268
1237,"SR","S_dig_070.txt",2802,0.093867845174,0.478578892371996,0.0154635826404898,-0.010828631138976,0.324,4.95758980409829,0.0445351689272815,-0.0179501694200246,0.644,1.35734657376926,0.0398681877428559,0.89,1.4913313998461,0.118512729603521,0.99,0.146598749091533,0.0546980503046328,1.4913313998461,0.143074567168332,0.963563049797791,0.22226035254839,0.97806001418764,0.00313152400835073,0,0.00156576200417537
1238,"SR","S_dig_071.txt",5226,0.119259481883,0.476096181046676,0.0335438987248369,-0.0166404526166902,0.35,4.83421913760172,0.0644736382457239,-0.0433369592287027,0.302,1.19482163164602,0.0451351302829094,0.44,1.23113195905196,0.0939213226481094,0.17,0.113538012134373,0.0480718264789694,1.23113195905196,0.114738114957111,0.948892693351295,0.183365140798107,0.971574515213215,0.0101694915254237,0.00677966101694915,0.0511299435028249
1239,"SR","S_dig_072.txt",9698,0.0657846643797,0.5,0.0357705713826372,-0.027776091081594,0.648,4.95682319703196,0.0680469905578766,-0.0636226474065555,0.888,1.13692034556022,0.039252899202825,0.74,1.18108927256117,0.104818784120576,0.97,0.0829702911495911,0.0267055227190224,1.18108927256117,0.0884009526451455,0.946435344041632,0.136501245578787,0.966226774108772,0.00394632991318074,0.0176795580110497,0.00978689818468824
1240,"Pop","P_dig_001.txt",598558,0.0570209295473,0.468311212814645,0.0417476649155885,-0.0941527871853546,0,4.8826713806353,0.111401691199489,-0.226044116233666,0,1.08428681063632,0.0722147770161349,0,0.40952264015211,0.0295688289754876,0.48,0.0135691990338802,0.00352130889800295,0.40952264015211,0.0298542707768749,0.943752248748687,0.052039648524652,0.943797144197108,0.00585830719855795,0.0147635746425197,0.0124097292277145
